9/5/19, 7:25 PM - Messages and calls are end-to-end encrypted. No one outside of this chat, not even WhatsApp, can read or listen to them. Tap to learn more.
9/5/19, 7:25 PM - Jeetu....: <Media omitted>
9/26/19, 5:40 PM - Jeetu....: <Media omitted>
9/26/19, 6:55 PM - Jeetu....: <Media omitted>
9/26/19, 6:55 PM - Jeetu....: <Media omitted>
9/26/19, 9:13 PM - Jeetu....: <Media omitted>
9/26/19, 9:14 PM - Aditya T 10: <Media omitted>
9/29/19, 9:07 PM - Jeetu....: Asus VivoBook Ryzen 5 Quad Core - (4 GB/1 TB HDD/Windows 10 Home) X505ZA-EJ505TX505Z Thin and Light Laptop
http://dl.flipkart.com/dl/asus-vivobook-ryzen-5-quad-core-4-gb-1-tb-hdd-windows-10-home-x505za-ej505tx505z-thin-light-laptop/p/itmfdwyyqgvxmtve?pid=COMFDTDDXSEU4MQE&cmpid=product.share.pp
9/30/19, 9:27 PM - Jeetu....: https://youtu.be/lM4p1etpt4U
10/1/19, 12:00 AM - Aditya T 10: <Media omitted>
10/1/19, 12:14 AM - Jeetu....: <Media omitted>
10/1/19, 12:16 AM - Jeetu....: <Media omitted>
10/1/19, 8:12 AM - Jeetu....: <Media omitted>
10/1/19, 10:09 PM - Jeetu....: You deleted this message
10/1/19, 10:10 PM - Jeetu....: <Media omitted>
10/1/19, 10:10 PM - Aditya T 10: Kya bheja tha uper
10/1/19, 10:10 PM - Jeetu....: Yahii
10/1/19, 10:10 PM - Jeetu....: Tha
10/1/19, 10:10 PM - Aditya T 10: Obk
10/1/19, 10:23 PM - Jeetu....: https://www.erome.com/a/CnngzprS
10/1/19, 10:35 PM - Jeetu....: https://mega.nz/#F!cfJ1gSZA!uqkrg852b3hrNAXmhHGaYQ
10/1/19, 10:44 PM - Jeetu....: https://mega.nz/#F!BLoC1a7Y!H9Q1RgFxl7uBB5dXdCbrfA
10/2/19, 10:15 AM - Jeetu....: <Media omitted>
10/3/19, 2:16 AM - Jeetu....: Abe
10/3/19, 7:01 AM - Aditya T 10: Haa bol
10/3/19, 7:27 AM - Jeetu....: Bhaag madarchod
10/3/19, 7:42 AM - Aditya T 10: Aja muh mai lele
10/3/19, 4:50 PM - Jeetu....: https://www.facebook.com/groups/426667881111263/permalink/739638399814208/?app=fbl
10/3/19, 6:54 PM - Jeetu....: <Media omitted>
10/4/19, 10:33 PM - Jeetu....: Abe
10/5/19, 8:02 AM - Aditya T 10: Haa
10/5/19, 8:03 AM - Jeetu....: Track kr
10/5/19, 8:03 AM - Jeetu....: Hand grip
10/5/19, 9:20 AM - Aditya T 10: 13 tak
10/5/19, 10:56 AM - Aditya T 10: <Media omitted>
10/5/19, 10:56 AM - Jeetu....: Otp dena
10/5/19, 10:57 AM - Aditya T 10: Nii ayi
10/5/19, 10:57 AM - Aditya T 10: Abhi tak
10/5/19, 10:59 AM - Aditya T 10: बॉर्डर पर लड़ाई शुरू हो गई।
संता: मेजर साहब, मैं दुश्मनों की माँ चोद दूंगा।
मेजर: भोसड़ी के, दुश्मन मारने हैं, पैदा नहीं करने।
😌😜😝😂😝😂😝😂😝
😆😆😆😆😆😆😆😆😆😆😆😆😆
10/5/19, 10:59 AM - Jeetu....: 😂
10/5/19, 10:59 AM - Aditya T 10: Mil gyi otp
10/5/19, 11:00 AM - Jeetu....: Haa
